Elliptic curve parameters:
name = secp17k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

Using random message hashes and nonces (only for test curves).

---------------------------------------------------------------------------------------------------------------------------------------------------------
case    s      s_zk*  s_rxk*  s_zr   z      r_x    r_y    x*     k*     k^{-1}*  a      m1*    m2*  f*                          x_recovered  hypothesis
D4      58813  95339  63141   78508  96613  49253  71974  85941  72356  9335     19423  -      -    4.90856201410698656232      -            -
D19     73075  93101  79641   84452  79216  38194  13873  13955  85265  28588    4813   -      -    19.34365260752129648867     -            -
D61     11809  9359   2450    17637  46113  21761  60593  80807  20835  62723    153    -      -    61.16993464052287581699     -            -
D9      19086  26231  92522   35327  77937  12662  12174  46550  99404  69729    2845   -      -    9.22003514938488576449      -            -
D0      45398  16157  29241   69194  45249  23138  20639  56348  84279  85489    21602  -      -    0.74794000555504119988      -            -
D0      46365  17893  28472   70957  76268  58573  27423  93469  11256  38296    21773  -      -    0.82179763927800486841      -            -
D1      44938  9975   34963   80701  80353  17959  58009  29058  28894  14691    9175   -      -    1.08719346049046321525      -            -
D10     64961  87805  76823   76222  33647  74343  61835  63983  83826  46911    8656   -      -    10.14383086876155268022     -            -
D5      72614  83918  88363   91602  37904  65071  85022  79395  56669  28921    15650  -      -    5.36217252396166134185      -            -
D1      48513  3952   44561   93807  34591  5967   37134  24661  13602  83261    3219   -      -    1.22771046908977943460      -            -
D55     43244  76288  66623   51619  78208  79786  37230  29753  55353  9462     1369   -      -    55.72534696859021183345     -            -
D1      36109  30451  5658    54207  41340  47976  27944  67795  9935   28611    18011  -      -    1.69068902337460440841      -            -
D10     63149  98257  64559   76603  35494  14556  90774  70674  60906  89356    9333   -      -    10.52791171113254044787     -            -
D22     15255  84673  30249   26718  47134  77634  778    66884  26027  61829    3792   -      -    22.32937763713080168776     -            -
D6      34789  73446  61010   57738  28658  27115  34886  67481  2538   88318    11840  -      -    6.20320945945945945945      -            -
C       45715  52886  92496   48121  45562  5052   2129   65376  33776  71165    1      52886  -    -                           -            -
D2      22996  13926  9070    41150  29690  36189  44452  18308  45291  95948    4842   -      -    2.87608426270136307311      -            -
D0      56298  2561   53737   69611  96842  39948  48014  21867  13114  66432    3046   -      -    0.84077478660538411030      -            -
D1      67938  32195  35743   92659  77996  28087  47115  28511  1541   89060    18496  -      -    1.74064662629757785467      -            -
D5      45342  95517  49492   74421  67074  35329  31795  57843  1713   58590    16263  -      -    5.87327061427780852241      -            -
D24     49265  82719  66213   52793  40563  69021  47744  88369  48061  16897    3401   -      -    24.32196412819758894442     -            -
D5      67698  12418  55280   71792  22079  5682   56455  53966  54378  12139    2194   -      -    5.65998176845943482224      -            -
D4      39238  70198  68707   63030  16898  71336  18781  8926   32383  93136    15446  -      -    4.54473650135957529457      -            -
D4      41356  84031  56992   63790  88205  65871  10804  86368  19799  81721    18922  -      -    4.44091533664517492865      -            -
D28     88167  92789  95045   91706  71909  58128  58706  96757  17190  7404     3231   -      -    28.71835345094398019189     -            -
D31     66875  23159  43716   75142  23040  11484  69492  69135  85436  57807    739    -      -    31.33829499323410013531     -            -
D1      56121  16660  39461   78789  73409  83316  80304  51472  87904  48660    10785  -      -    1.54473806212331942512      -            -
D2      42721  39751  2970    69322  32037  92041  74493  70764  47233  3526     16120  -      -    2.46594292803970223325      -            -
D30     47137  17707  29430   47913  78218  59666  87787  20677  35330  94355    577    -      -    30.68804159445407279029     -            -
D32     72350  48042  24308   81211  36146  80150  26816  88850  34389  28220    1462   -      -    32.86046511627906976744     -            -
D6      41239  24992  16247   47492  88561  23167  6767   31699  9786   34638    3721   -      -    6.71647406611126041386      -            -
D19     55426  40941  14485   57650  84421  7854   48655  2253   64414  25473    2050   -      -    19.97121951219512195121     -            -
D20     90861  74128  16733   95450  7178   62024  52470  10550  23774  70602    3670   -      -    20.19836512261580381471     -            -
D3      34024  15991  18033   63925  22293  32644  47540  75317  45070  99395    4123   -      -    3.87848653892796507397      -            -
D0      10042  1242   8800    17771  21923  54942  68146  97932  96876  97203    2313   -      -    0.53696498054474708171      -            -
D6      78394  52291  26103   87177  67127  14978  99397  65092  42875  11616    8130   -      -    6.43185731857318573185      -            -
D3      82666  24633  58033   92088  52400  89276  43977  32283  75773  91871    7290   -      -    3.37901234567901234567      -            -
D5      54708  82190  72185   93440  56318  122    43039  14599  78575  27648    15976  -      -    5.14459188783174762143      -            -
D17     20104  78088  41683   35846  85055  67047  8871   43380  42308  1086     4362   -      -    17.90187987161852361302     -            -
D6      76720  13241  63479   95398  40463  13099  68139  67789  89674  99288    2008   -      -    6.59412350597609561752      -            -
D5      58977  64323  94321   74822  89278  37254  71981  66339  54168  26328    11442  -      -    5.62165705296276874672      -            -
D2      24891  20563  4328    42303  1566   39932  22852  61368  2472   9878     7479   -      -    2.74943174221152560502      -            -
D2491   65840  99648  65859   65980  84571  44072  42338  10674  79479  53709    40     -      -    2491.20000000000000000000   -            -
D24     71726  50736  20990   74306  83814  63877  46647  48001  99539  70857    2066   -      -    24.55759922555663117134     -            -
D65     45119  49331  95455   67303  8622   4990   43410  79307  14561  9658     751    -      -    65.68708388814913448735     -            -
D3      50694  96750  53611   76219  61331  36419  45480  21126  59499  70614    25169  -      -    3.84401446223528944336      -            -
D39     49244  83975  64936   54479  30579  92495  40983  88373  5238   94168    2129   -      -    39.44340065758572099577     -            -
D3      68932  37055  31877   83232  94599  97212  13826  69002  93962  36827    11732  -      -    3.15845550630753494715      -            -
D21     38651  95652  42666   55794  18327  12647  56138  18692  95219  25701    4365   -      -    21.91340206185567010309     -            -
D4      65074  64171  903     90203  33008  91961  81196  55491  7569   19541    14816  -      -    4.33119600431965442764      -            -
D110    62419  82492  79594   64886  1871   75837  43320  48899  93359  66471    744    -      -    110.87634408602150537634    -            -
D32     52606  73632  78641   58898  93373  63870  4790   92315  14578  63931    2270   -      -    32.43700440528634361233     -            -
D3      73466  24054  49412   84665  3882   29316  39209  61765  36645  92125    6272   -      -    3.83514030612244897959      -            -
D14     33137  96366  36438   59503  64013  37711  66919  12443  82498  28706    6771   -      -    14.23216659282233052724     -            -
D39     8914   59205  49376   10765  32159  83254  15350  33014  39364  51340    1510   -      -    39.20860927152317880794     -            -
D16     24648  45215  79100   46552  69213  88067  7926   86968  71037  94943    2744   -      -    16.47776967930029154518     -            -
D14     72495  7328   65167   73332  93613  50661  25890  64024  26140  77770    513    -      -    14.28460038986354775828     -            -
D6      39143  74424  64386   53314  54364  93893  1874   32170  9991   10664    10801  -      -    6.89047310434219053791      -            -
D25     36231  84798  51100   69144  18407  42893  44027  85574  73886  97966    3318   -      -    25.55696202531645569620     -            -
D1      40571  4432   36139   78481  5760   90631  55171  11685  45697  57863    2661   -      -    1.66553927095077038707      -            -
D0      81542  977    80565   97141  3748   92061  59423  69877  85593  79803    3547   -      -    0.27544403721454750493      -            -
D10     41802  69900  71569   59263  95404  24558  16512  40908  6258   36105    6880   -      -    10.15988372093023255813     -            -
D59     66627  37389  29238   69377  63820  75882  63759  56207  64759  65768    627    -      -    59.63157894736842105263     -            -
D10     42733  68114  74286   54860  76552  56094  52503  48716  81085  99608    6352   -      -    10.72323677581863979848     -            -
D1      41711  6127   35584   79265  36379  52174  43030  45210  34817  49646    4157   -      -    1.47389944671638200625      -            -
D16     35313  84516  50464   65356  71894  90022  47556  91203  85769  47008    5270   -      -    16.03719165085388994307     -            -
D32     18672  87476  30863   26644  64004  17603  8549   54338  32623  73115    2728   -      -    32.06598240469208211143     -            -
D30     73014  97894  74787   84642  43091  68812  53743  45507  36346  38448    3246   -      -    30.15834873690696241528     -            -
D4      24265  7295   16970   46759  24754  17319  74954  17778  40485  88446    1771   -      -    4.11914172783738001129      -            -
D6      26325  36512  89480   46631  30508  31818  29463  96823  51090  47672    6019   -      -    6.06612394085396245223      -            -
D6      25918  71817  53768   41236  60213  72146  68632  84352  81553  8721     10600  -      -    6.77518867924528301886      -            -
D2      50468  51252  98883   83743  78748  80672  1888   67810  60200  94033    17193  -      -    2.98098063165241668120      -            -
D5      26755  25681  1074    34204  57583  75036  9447   29322  34667  19938    4408   -      -    5.82599818511796733212      -            -
D6      51299  64127  86839   92242  69144  2668   24531  45775  88313  64651    10356  -      -    6.19225569718037852452      -            -
D47     27890  48882  78675   31248  72353  11493  85741  74571  26844  44216    1026   -      -    47.64327485380116959064     -            -
D6      86528  16075  70453   98549  91201  84245  27282  96006  46178  65913    2381   -      -    6.75136497270054598908      -            -
D6      33330  49486  83511   41925  16240  33542  25012  92404  68071  17813    7545   -      -    6.55878064943671305500      -            -
D54     2634   6643   95658   2948   98969  75103  74954  19134  72961  17268    122    -      -    54.45081967213114754098     -            -
D3      40648  58444  81871   64451  76102  75844  42273  24958  99508  34476    16845  -      -    3.46951617690709409320      -            -
D6      19499  20687  98479   22770  21610  44277  15089  79563  82820  26977    3144   -      -    6.57983460559796437659      -            -
D13     86278  83469  2809    95197  28765  95509  67409  82967  10563  585      6007   -      -    13.89528882969868486765     -            -
D15     5035   19237  85465   8812   43157  95762  37168  21857  21835  77287    1258   -      -    15.29173290937996820349     -            -
D1      46738  27505  19233   75876  54643  35939  23219  80598  37383  87011    17600  -      -    1.56278409090909090909      -            -
D6      59502  81692  77477   82532  13669  45986  13188  27589  55347  33379    13442  -      -    6.07736943907156673114      -            -
D4      45178  45993  98852   78900  99247  85241  93468  76096  64360  80336    11456  -      -    4.01475209497206703910      -            -
D16     49035  80910  67792   93121  30309  78299  69056  41353  18851  89262    4949   -      -    16.34875732471206304303     -            -
D7      31297  46490  84474   56728  94394  23994  80656  43686  46176  218      5866   -      -    7.92533242413910671667      -            -
D10     55801  53582  2219    64266  53839  49806  72655  46244  63521  44578    5011   -      -    10.69287567351825982837     -            -
D4      57262  74901  82028   96163  31866  87300  31706  89756  84011  45651    18361  -      -    4.07935297641740645934      -            -
D1      56283  50116  6167    86591  47902  76634  95094  13621  23631  21569    25975  -      -    1.92939364773820981713      -            -
D4      54465  47440  7025    69299  85816  14559  33052  4489   44020  54921    9963   -      -    4.76161798655023587272      -            -
D9      26405  60880  65192   33052  59161  42734  96832  60128  41775  6017     6464   -      -    9.41831683168316831683      -            -
D45     64663  50275  14388   66713  19369  72460  37619  22230  76459  26364    1113   -      -    45.17070979335130278526     -            -
D3      69453  34705  34748   89211  15274  40456  78266  60894  93717  27689    10179  -      -    3.40947047843599567737      -            -
D69     17399  19969  97097   19538  88487  79821  75070  15928  83675  44991    287    -      -    69.57839721254355400696     -            -
D29     21324  88175  32816   39706  44549  70709  87100  7320   20802  31876    2942   -      -    29.97110808973487423521     -            -
D1      54543  34572  19971   84979  57158  25573  9252   67127  83611  6822     24107  -      -    1.43410627618534035757      -            -
D0      22093  1133   20960   28847  65001  31323  71749  28302  81867  29133    1831   -      -    0.61878754778809393773      -            -
D6      82421  38718  43703   90081  84107  99168  70042  35190  28470  2265     5821   -      -    6.65143446143274351485      -            -
D0      69009  7381   61628   92546  63239  43374  30655  52667  14565  67040    21935  -      -    0.33649418737178025985      -            -
D14     89231  79431  9800    98550  65449  57826  33656  62942  30942  70558    5360   -      -    14.81921641791044776119     -            -
D169    19033  89977  28723   37536  77300  32224  34941  63259  1432   348      530    -      -    169.76792452830188679245    -            -
D5      55338  80060  74945   95576  11441  73245  7812   52488  25990  50263    15100  -      -    5.30198675496688741721      -            -
D9      63557  99579  63645   89821  31091  48482  64323  34269  82325  20638    11029  -      -    9.02883307643485356786      -            -
D3      81387  33813  47574   99216  25485  88748  51595  14914  48583  57983    10071  -      -    3.35746201966041108132      -            -
D3      29299  41437  87529   47343  24930  91957  10865  56470  83954  38857    11255  -      -    3.68165259884495779653      -            -
D0      55715  11575  44140   88676  45458  19125  16779  90665  59210  24655    22754  -      -    0.50870176672233453458      -            -
D16     24520  83100  41087   44111  28143  89239  53475  99347  40504  46017    4929   -      -    16.85940353012781497261     -            -
D17     60482  47356  13126   64607  93613  60425  67906  57639  41760  86390    2732   -      -    17.33382137628111273792     -            -
D1095   55993  94173  61487   57504  26731  26236  67664  54636  77911  68694    86     -      -    1095.03488372093023255813   -            -
D1      76631  16392  60239   92519  89590  6390   77761  30627  71594  33646    13079  -      -    1.25330682773912378622      -            -
D6      45650  31466  14184   86484  99432  51374  95504  18137  6091   88082    4816   -      -    6.53363787375415282392      -            -
D12     90238  59546  30692   95573  5063   15590  88362  30306  14095  66942    4878   -      -    12.20705207052070520705     -            -
D3      49613  44202  5411    68766  51073  68765  44529  85187  66412  3051     11307  -      -    3.90925975059697532501      -            -
D49     9168   70094  38741   13045  47280  81844  64767  39780  46733  1768     1414   -      -    49.57142857142857142857     -            -
D5      44047  25655  18392   63609  37420  93311  19763  14894  9636   20283    4923   -      -    5.21125330083282551289      -            -
D18     51831  81867  69631   59739  51722  81491  63625  80420  51320  26484    4383   -      -    18.67830253251197809719     -            -
D1863   28903  31673  96897   29189  4194   95135  67814  15538  79465  27978    17     -      -    1863.11764705882352941176   -            -
D18     68507  58080  10427   72136  60369  267    57528  51125  93444  92620    3185   -      -    18.23547880690737833594     -            -
D1      61839  49284  12555   94093  98011  56698  58869  93401  90057  28137    29585  -      -    1.66584417779280040561      -            -
D3      38641  50540  87768   63677  87221  34341  62166  51131  25869  27239    13605  -      -    3.71481073134876883498      -            -
D10     68444  50764  17680   89594  22765  69738  34160  72609  80947  52618    4994   -      -    10.16499799759711653984     -            -
D3      37797  37173  624     51932  74049  35067  10370  69435  52888  54524    9527   -      -    3.90185787761100031489      -            -
D1      47833  30315  17518   77483  62829  22527  41652  76557  19393  53891    18183  -      -    1.66721663091899026563      -            -
D3      32907  16082  16825   47325  24463  28725  35485  78309  19071  20502    4071   -      -    3.95038074183247359371      -            -
D2      49105  63812  84960   74863  20514  47748  95115  54534  58268  71384    23347  -      -    2.73319912622606758898      -            -
D17     53067  98919  53815   60987  1432   94072  44685  23067  2130   38697    5547   -      -    17.83288263926446727961     -            -
D1      68645  1782   66863   72174  90620  77053  16854  88768  12691  95811    1594   -      -    1.11794228356336260978      -            -
D4      24984  44137  80514   40585  77088  29392  69027  74971  23895  65014    9383   -      -    4.70393264414366407332      -            -
D51     20943  55746  64864   24253  46354  37617  11425  28874  47848  37121    1083   -      -    51.47368421052631578947     -            -
D12     17166  66786  50047   28793  8462   75160  65046  56597  76527  22410    5539   -      -    12.05741108503339953060     -            -
D0      84611  838    83773   91901  65109  76093  45283  97226  81072  48925    4421   -      -    0.18954987559375706853      -            -
D3      51531  12713  38818   75704  51701  77586  41627  82115  95124  59300    3185   -      -    3.99152276295133437990      -            -
D34     13020  36390  76297   14348  94128  69507  27092  41551  72900  66714    1068   -      -    34.07303370786516853932     -            -
D31     47985  50379  97273   59582  15687  79759  39349  75915  7063   49770    1597   -      -    31.54602379461490294301     -            -
D1      55696  37509  18187   91316  70356  73869  81807  76100  29281  31972    20076  -      -    1.86835026897788404064      -            -
D3      37300  42979  93988   50059  15636  98287  84216  1948   70235  34876    11782  -      -    3.64785265659480563571      -            -
D57     39228  79419  59476   58157  53149  80175  57000  29249  10349  38532    1370   -      -    57.97007299270072992700     -            -
D9      45196  68925  75938   83333  36070  19734  8031   93001  95315  40192    7059   -      -    9.76413089672758181045      -            -
D2      56836  41188  15648   95399  63485  92114  28601  23608  79151  18339    18273  -      -    2.25403600941279483390      -            -
D3      71907  5486   66421   89522  71834  83693  83196  54915  69195  89472    1447   -      -    3.79129232895646164478      -            -
D36     40461  39711  750     53581  7596   64313  1297   6216   91302  91839    1101   -      -    36.06811989100817438692     -            -
D1      65008  47878  17130   99375  2832   36460  3682   90206  31471  71459    30641  -      -    1.56254691426520022192      -            -
D0      58853  19077  39776   93889  3380   81796  7338   30756  50458  37425    23817  -      -    0.80098249149766973170      -            -
D8      75001  40902  34099   98349  84371  73382  29129  13645  98882  3555     4957   -      -    8.25136171071212426871      -            -
D3      56503  23349  33154   63693  37899  79527  42790  41532  13358  88796    6173   -      -    3.78243965656892920784      -            -
D3      54290  83276  70681   87532  52205  4849   5723   15101  27323  7642     21048  -      -    3.95648042569365260357      -            -
D0      42346  3618   38728   53879  40695  8850   77581  59782  61580  88624    7747   -      -    0.46701949141603201239      -            -
D9      12856  56185  56338   19800  23903  7477   88032  69641  65282  91009    5912   -      -    9.50355209742895805142      -            -
D5      68545  15112  53433   72646  68227  29473  95113  22764  26115  7278     2929   -      -    5.15944008193922840559      -            -
D0      68824  1577   67247   83418  94722  18808  30900  98540  88983  2640     10448  -      -    0.15093797856049004594      -            -
D5      70880  28877  42003   92894  98545  71514  49641  12426  39864  35595    4838   -      -    5.96878875568416701116      -            -
D5      60320  64936  95051   76287  22400  37997  60184  7899   31299  94295    12419  -      -    5.22876238022385055157      -            -
D42     67054  66478  576     83422  28094  65854  48729  25438  54663  82435    1582   -      -    42.02149178255372945638     -            -
D2      33995  26357  7638    58843  92642  99006  20394  91368  57311  32216    9147   -      -    2.88149119930031704383      -            -
D150    58899  42228  16671   59702  9592   45538  15475  21421  27407  27976    280    -      -    150.81428571428571428571    -            -
D3      59446  14128  45318   64074  75687  87287  90729  44952  39645  71088    3910   -      -    3.61329923273657289002      -            -
D15     38595  65500  72762   55762  45677  54394  95057  97169  39516  59607    4261   -      -    15.37197840882421966674     -            -
D38     78562  41106  37456   97936  62119  1091   85767  42295  49578  18139    1066   -      -    38.56097560975609756097     -            -
D133    13441  90363  22745   15568  40283  77338  57704  52611  94103  92269    679    -      -    133.08247422680412371134    -            -
D463    69540  72276  96931   72844  82845  60085  16539  40725  63954  70015    156    -      -    463.30769230769230769230    -            -
D29     56310  62931  93046   67140  44760  49835  9229   32856  77983  5272     2160   -      -    29.13472222222222222222     -            -
D6      31969  26344  5625    60009  1007   86662  6665   43455  86906  46643    3929   -      -    6.70501399847289386612      -            -
D34     47466  16710  30756   94446  3057   98622  85279  27018  88269  51355    486    -      -    34.38271604938271604938     -            -
D23     13763  67968  45462   24669  60675  31815  57963  30736  27192  898      2857   -      -    23.78998949947497374868     -            -
D8      67302  17048  50254   75454  3714   235    68445  25449  91728  25874    2086   -      -    8.17257909875359539789      -            -
D11     45514  92916  52265   82989  79547  14297  69025  53793  61935  17769    8039   -      -    11.55815399925363851225     -            -
D1      34729  12907  21822   47736  52725  90532  7962   54055  5255   62152    8715   -      -    1.48100975329890992541      -            -
D0      38463  8000   30463   52351  87391  5752   63425  26588  10314  12340    10687  -      -    0.74857303265649854963      -            -
D7      38613  89722  48558   64723  37090  4492   32275  88250  12273  65795    12503  -      -    7.17603775093977445413      -            -
D106    73859  97767  75759   75638  38587  72569  97784  22912  81864  98329    920    -      -    106.26847826086956521739    -            -
D4      19082  28764  89985   31428  60222  22333  21139  29673  16738  74783    6736   -      -    4.27019002375296912114      -            -
D22     86022  73558  12464   90162  63411  72763  97921  87221  80345  92853    3222   -      -    22.82991930477963997517     -            -
D97     82234  42356  39878   82681  23423  59528  44790  75155  83156  84576    433    -      -    97.81986143187066974595     -            -
D16     91489  57277  34212   96986  68345  65540  69070  53834  97420  67110    3537   -      -    16.19366694939214023183     -            -
D55     44509  70734  73442   55316  33215  64942  38297  19304  19100  26597    1281   -      -    55.21779859484777517564     -            -
D0      54417  12412  42005   87449  3744   73203  41772  10539  74871  16508    21385  -      -    0.58040682721533785363      -            -
D2      46775  23873  22902   84138  36365  46858  21733  90788  48426  72263    9412   -      -    2.53644283892902677433      -            -
D50     47525  53852  93340   50428  40458  93953  75735  52883  57526  8318     1077   -      -    50.00185701021355617455     -            -
D2      70662  35109  35553   97576  27890  81238  96645  34031  12165  52615    16834  -      -    2.08560057027444457645      -            -
D3      19091  19148  99610   32393  16261  62146  80411  40707  90408  22336    5789   -      -    3.30765244429089652789      -            -
D2      26143  15411  10732   44652  86970  73532  99193  47848  64536  28807    7634   -      -    2.01873198847262247838      -            -
D0      47565  869    46696   90966  86855  7881   93355  77187  54005  9545     4164   -      -    0.20869356388088376560      -            -
D6      39590  23254  16336   43573  63356  93339  34959  84034  99524  74576    3743   -      -    6.21266363879241250333      -            -
D16     37409  67338  69738   44074  39752  62125  37304  71412  44374  24417    4084   -      -    16.48824681684622918707     -            -
D0      23455  771    22684   45006  27960  4215   9633   16767  55493  88000    1904   -      -    0.40493697478991596638      -            -
D2      57436  63744  93359   86915  20922  94331  92312  11899  96018  47307    27957  -      -    2.28007296920270415280      -            -
D14     34855  85024  49498   63870  2072   78052  46519  90357  9631   93551    5840   -      -    14.55890410958904109589     -            -
D5      92417  30973  61444   98208  54981  76616  18456  44375  62969  89382    5552   -      -    5.57871037463976945244      -            -
D245    29555  41900  87322   36901  75163  60940  37230  71031  50694  3301     171    -      -    245.02923976608187134502    -            -
D1      58336  32153  26183   97263  65452  46121  67227  7445   42813  30189    19409  -      -    1.65660260703797207481      -            -
D0      64098  616    63482   88370  33230  54860  73781  29502  19146  95414    15554  -      -    0.03960396039603960396      -            -
D1      50454  12551  37903   60602  40348  44450  3431   98904  36079  58393    9862   -      -    1.27266274589332792537      -            -
D4      54819  89392  65094   89200  70080  2163   55462  32456  35786  79166    20438  -      -    4.37381348468538995987      -            -
D4      58690  94430  63927   78306  69029  74141  63192  37664  70593  36327    19458  -      -    4.85301675403433035255      -            -
D2      76089  18663  57426   92847  38672  50957  8436   31816  27083  74109    9057   -      -    2.06061609804571050016      -            -
D78     36334  89483  46518   71526  74611  39210  5210   49980  24195  58585    1142   -      -    78.35639229422066549912     -            -
D3      31588  27242  4346    43338  51888  17461  45225  73570  33734  69215    8088   -      -    3.36819980217606330365      -            -
D123    13239  24584  88322   14054  30068  21513  26300  25585  32483  1393     199    -      -    123.53768844221105527638    -            -
D6      46051  63928  81790   82232  82853  8685   2137   32833  64348  86658    9870   -      -    6.47700101317122593718      -            -
D1      31776  26614  5162    48107  25296  52227  6215   13289  95586  24642    15445  -      -    1.72314664940110067983      -            -
D3      45840  31302  14538   83753  13945  27351  67186  66361  68104  40984    7927   -      -    3.94878264160464236154      -            -
D29     58671  68917  89421   61801  3032   17541  37434  73343  43257  85785    2331   -      -    29.56542256542256542256     -            -
D60     36036  99168  36535   53230  57185  62161  55967  14037  98354  38713    1648   -      -    60.17475728155339805825     -            -
D2      50681  9150   41531   96887  74852  76131  96321  96049  87628  37312    4475   -      -    2.04469273743016759776      -            -
D9      63046  11266  51780   93946  48240  27774  54196  69734  20104  52813    1246   -      -    9.04173354735152487961      -            -
D0      52176  7903   44273   78993  94716  92404  87857  29669  21035  6098     25359  -      -    0.31164478094562088410      -            -
D18     42777  17539  25238   43972  32977  69696  73139  85408  97214  71835    952    -      -    18.42331932773109243697     -            -
D104    55246  17265  37981   61366  88011  33599  56882  53707  51683  22256    166    -      -    104.00602409638554216867    -            -
D1      50782  44265  6517    77428  36747  79650  16959  75044  19610  54672    24136  -      -    1.83398243288034471329      -            -
D0      51704  5492   46212   71858  8985   37623  52303  11217  74643  32990    11396  -      -    0.48192348192348192348      -            -
D28     81427  81684  99410   85000  46698  97240  57350  82790  19013  44809    2821   -      -    28.95568947181850407656     -            -
D0      65572  17493  48079   99299  9358   35679  65500  62589  35462  18097    31845  -      -    0.54931700423928403203      -            -
D31     34288  80604  53351   50157  16068  54619  56809  71800  85853  71536    2550   -      -    31.60941176470588235294     -            -
D6      76311  93609  82369   96568  61448  75326  16457  53688  46681  68937    15540  -      -    6.02374517374517374517      -            -
D9      72166  36263  35903   80717  44884  88213  97429  18554  81042  71589    3758   -      -    9.64954763171899946780      -            -
D8      55610  40243  15367   81096  63679  37053  11062  76243  62534  20839    4638   -      -    8.67680034497628288055      -            -
D7      57205  42251  14954   70066  13688  25417  29907  73215  39911  75314    5761   -      -    7.33396979691025863565      -            -
D129    63899  69155  94411   65943  92168  84653  68619  63502  17636  61447    535    -      -    129.26168224299065420560    -            -
D351    47455  70372  76750   48182  9037   38595  33101  87548  35675  79823    200    -      -    351.86000000000000000000    -            -
D6      48457  48863  99261   69104  56204  46774  50984  9052   39737  82160    7163   -      -    6.82158313555772720926      -            -
D3      58655  65061  93261   98237  96582  92883  1      82309  43509  75028    19073  -      -    3.41115713312011744350      -            -
D9      9671   25841  83497   13162  86651  2434   52708  71935  58945  60299    2689   -      -    9.60989215321680922275      -            -
D1      58015  46606  11409   90922  62605  37571  24610  76093  21983  55095    25108  -      -    1.85622112474111836864      -            -
D23     35851  47399  88119   52756  62259  10901  2550   91768  61752  20538    2041   -      -    23.22341989220970112689     -            -
D1      41292  10263  31029   74723  35709  47766  43208  44356  45598  27967    7861   -      -    1.30555908917440529194      -            -
D680    51792  42174  9618    51862  18748  6733   48882  27647  69229  43265    62     -      -    680.22580645161290322580    -            -
D0      12940  1916   11024   22554  82016  32551  96014  19294  51853  85799    3326   -      -    0.57606734816596512327      -            -
D3      30248  9399   20849   39392  60861  61521  64197  34235  18362  18330    2816   -      -    3.33771306818181818181      -            -
D6      68544  94027  74184   95182  67340  69940  64066  88219  57597  96618    15268  -      -    6.15843594445899921404      -            -
D2      9221   5570   3651    12689  74059  26944  94169  78916  13845  90287    2285   -      -    2.43763676148796498905      -            HYP-001
D6      61771  77877  83561   74397  52890  28850  48145  98444  41758  23536    11267  -      -    6.91195526759563326528      -            -
D2      62589  63883  98373   97293  99503  74157  31818  96799  36041  5080     27885  -      -    2.29094495248341402187      -            -
D5      40401  98566  41502   61568  84231  92044  22783  79554  26266  77488    19234  -      -    5.12457107205989393781      -            -
D15     38441  7708   30733   39959  53684  19760  12001  56676  7610   52741    491    -      -    15.69857433808553971486     -            -
D1      56645  41536  15109   86754  90095  42036  13916  62803  65603  76339    26536  -      -    1.56526982212842930358      -            -
D5      31700  51436  79931   53131  11181  82655  78234  94873  57195  21202    10269  -      -    5.00886162235855487389      -            -
D13     66839  82765  83741   73559  32177  89649  13102  24113  9085   51693    6359   -      -    13.01541122818053153011     -            -
D117    45610  96233  49044   56807  35620  5483   16018  15584  50897  38283    822    -      -    117.07177615571776155717    -            -
D20     26492  59248  66911   38319  45205  63009  50942  31289  74894  97587    2838   -      -    20.87667371388301620859     -            -
D29     38054  98407  39314   46745  17509  5843   73119  98990  19524  18648    3290   -      -    29.91094224924012158054     -            -
D0      53408  9702   43706   84903  3869   93017  80085  15088  5558   54460    21913  -      -    0.44275087847396522612      -            -
D0      43967  6139   37828   66455  11318  18208  25620  21084  9337   50063    21479  -      -    0.28581405093346990083      -            -
D2      36505  33320  3185    58845  36988  93851  73323  55676  3100   22409    14165  -      -    2.35227673843981644899      -            -
D4      37695  58980  78382   60652  78692  74271  42387  58492  1022   20382    14738  -      -    4.00189985072601438458      -            -
D1      43649  28343  15306   68512  28087  74876  65265  7339   30341  65872    18786  -      -    1.50872990524858937506      -            -
D6      73112  36051  37061   95556  19032  3587   71063  25852  56664  31627    5780   -      -    6.23719723183391003460      -            -
D7      68193  47974  20219   83739  49860  10682  37069  9630   8415   33779    6009   -      -    7.98369112997170910301      -            -
D7      53998  97719  55946   67680  83655  4826   79409  90831  68363  26168    12952  -      -    7.54470352069178505250      -            -
D6      89566  28585  60981   99038  47803  34777  89497  60483  11703  2342     4318   -      -    6.61996294580824455766      -            -
D38     48282  74776  73173   94610  91036  55094  82506  26024  79979  19576    1954   -      -    38.26816786079836233367     -            -
D1      40584  10834  29750   49129  91634  25714  97826  16638  86925  55434    6404   -      -    1.69175515302935665209      -            -
D1      60685  31439  29246   93964  35844  8767   13459  37869  25055  51005    27406  -      -    1.14715755673940013135      -            -
D64     15995  68265  47397   30938  2955   21293  87021  5468   56524  33920    1052   -      -    64.89068441064638783269     -            -
D8      34181  61023  72825   61536  85523  28633  84421  51663  49447  47835    6826   -      -    8.93978904189862291239      -            -
D4      41410  65738  75339   69604  74211  37067  25828  97871  55323  31437    13216  -      -    4.97412227602905569007      -            -
